Type,Name,Path,Size,Extension,Client,Created,Modified,Tags,Description
folder,"Acme Corporation","Acme Corporation",0,,"Acme Corporation",Jan 15, 2024, 04:00 AM,Sep 14, 2025, 04:00 AM,,"Acme Corporation project files"
file,"project-proposal.pdf","Acme Corporation/project-proposal.pdf",2048000,pdf,"Acme Corporation",Sep 10, 2025, 04:00 AM,Sep 10, 2025, 04:00 AM,"proposal;project;important","Initial project proposal document"
file,"wireframes.fig","Acme Corporation/wireframes.fig",5120000,fig,"Acme Corporation",Sep 12, 2025, 04:00 AM,Sep 12, 2025, 04:00 AM,"design;wireframes;ui","User interface wireframes"
file,"logo-variations.png","Acme Corporation/logo-variations.png",1024000,png,"Acme Corporation",Sep 14, 2025, 04:00 AM,Sep 14, 2025, 04:00 AM,"logo;branding;design","Logo design variations"
folder,"TechStart Inc","TechStart Inc",0,,"TechStart Inc",Mar 20, 2024, 04:00 AM,Sep 13, 2025, 04:00 AM,,"TechStart Inc project files"
file,"app-mockup.jpg","TechStart Inc/app-mockup.jpg",3072000,jpg,"TechStart Inc",Sep 11, 2025, 04:00 AM,Sep 11, 2025, 04:00 AM,"mockup;mobile;app","Mobile app mockup design"
file,"user-stories.docx","TechStart Inc/user-stories.docx",1536000,docx,"TechStart Inc",Sep 13, 2025, 04:00 AM,Sep 13, 2025, 04:00 AM,"documentation;requirements;user-stories","User stories and requirements"
folder,"Design Studio","Design Studio",0,,"Design Studio",Jun 10, 2024, 04:00 AM,Sep 12, 2025, 04:00 AM,,"Design Studio project files"
file,"brand-guidelines.pdf","Design Studio/brand-guidelines.pdf",8192000,pdf,"Design Studio",Sep 8, 2025, 04:00 AM,Sep 8, 2025, 04:00 AM,"branding;guidelines;design","Complete brand guidelines document"
file,"website-screenshots.zip","Design Studio/website-screenshots.zip",25600000,zip,"Design Studio",Sep 12, 2025, 04:00 AM,Sep 12, 2025, 04:00 AM,"screenshots;website;archive","Website screenshots archive"
folder,"Recent Files","Recent Files",0,,,Sep 1, 2025, 04:00 AM,Sep 14, 2025, 04:00 AM,,"Recently accessed files"
file,"logo-variations.png","Recent Files/logo-variations.png",1024000,png,"Acme Corporation",Sep 14, 2025, 04:00 AM,Sep 14, 2025, 04:00 AM,"logo;branding;design","Logo design variations"
file,"user-stories.docx","Recent Files/user-stories.docx",1536000,docx,"TechStart Inc",Sep 13, 2025, 04:00 AM,Sep 13, 2025, 04:00 AM,"documentation;requirements;user-stories","User stories and requirements"
file,"website-screenshots.zip","Recent Files/website-screenshots.zip",25600000,zip,"Design Studio",Sep 12, 2025, 04:00 AM,Sep 12, 2025, 04:00 AM,"screenshots;website;archive","Website screenshots archive"
folder,"Favorites","Favorites",0,,,Sep 1, 2025, 04:00 AM,Sep 14, 2025, 04:00 AM,,"Starred and favorite files"
file,"project-proposal.pdf","Favorites/project-proposal.pdf",2048000,pdf,"Acme Corporation",Sep 10, 2025, 04:00 AM,Sep 10, 2025, 04:00 AM,"proposal;project;important","Initial project proposal document"
file,"logo-variations.png","Favorites/logo-variations.png",1024000,png,"Acme Corporation",Sep 14, 2025, 04:00 AM,Sep 14, 2025, 04:00 AM,"logo;branding;design","Logo design variations"
file,"user-stories.docx","Favorites/user-stories.docx",1536000,docx,"TechStart Inc",Sep 13, 2025, 04:00 AM,Sep 13, 2025, 04:00 AM,"documentation;requirements;user-stories","User stories and requirements"
file,"brand-guidelines.pdf","Favorites/brand-guidelines.pdf",8192000,pdf,"Design Studio",Sep 8, 2025, 04:00 AM,Sep 8, 2025, 04:00 AM,"branding;guidelines;design","Complete brand guidelines document"
